perm_number_in_collection,folder,filename,max_stat
1,permutations,perm_001_searchlight-acc.nii.gz,0.9473684302065521
2,permutations,perm_002_searchlight-acc.nii.gz,0.9736842149868608
3,permutations,perm_003_searchlight-acc.nii.gz,0.9473684302065521
4,permutations,perm_004_searchlight-acc.nii.gz,0.8947368606459349
5,permutations,perm_005_searchlight-acc.nii.gz,0.9473684302065521
6,permutations,perm_006_searchlight-acc.nii.gz,0.8947368606459349
7,permutations,perm_007_searchlight-acc.nii.gz,0.9473684302065521
8,permutations,perm_008_searchlight-acc.nii.gz,0.9210526454262435
9,permutations,perm_009_searchlight-acc.nii.gz,0.9473684302065521
10,permutations,perm_010_searchlight-acc.nii.gz,0.9473684302065521
11,permutations,perm_011_searchlight-acc.nii.gz,0.9210526454262435
12,permutations,perm_012_searchlight-acc.nii.gz,0.9210526454262435
13,permutations,perm_013_searchlight-acc.nii.gz,0.9210526454262435
14,permutations,perm_014_searchlight-acc.nii.gz,0.9473684302065521
15,permutations,perm_015_searchlight-acc.nii.gz,0.9473684302065521
16,permutations,perm_016_searchlight-acc.nii.gz,0.9736842149868608
17,permutations,perm_017_searchlight-acc.nii.gz,0.9210526454262435
18,permutations,perm_018_searchlight-acc.nii.gz,0.8947368606459349
19,permutations,perm_019_searchlight-acc.nii.gz,0.9473684302065521
20,permutations,perm_020_searchlight-acc.nii.gz,0.9736842149868608
21,permutations,perm_021_searchlight-acc.nii.gz,0.9210526454262435
22,permutations,perm_022_searchlight-acc.nii.gz,0.8684210758656263
23,permutations,perm_023_searchlight-acc.nii.gz,0.9736842149868608
24,permutations,perm_024_searchlight-acc.nii.gz,0.9736842149868608
25,permutations,perm_025_searchlight-acc.nii.gz,0.9473684302065521
26,permutations,perm_026_searchlight-acc.nii.gz,1.0000000591389835
27,permutations,perm_027_searchlight-acc.nii.gz,0.9473684302065521
28,permutations,perm_028_searchlight-acc.nii.gz,0.8947368606459349
29,permutations,perm_029_searchlight-acc.nii.gz,0.9210526454262435
30,permutations,perm_030_searchlight-acc.nii.gz,0.9473684302065521
31,permutations,perm_031_searchlight-acc.nii.gz,0.9473684302065521
32,permutations,perm_032_searchlight-acc.nii.gz,0.8947368606459349
33,permutations,perm_033_searchlight-acc.nii.gz,0.8947368606459349
34,permutations,perm_034_searchlight-acc.nii.gz,0.9210526454262435
35,permutations,perm_035_searchlight-acc.nii.gz,0.9210526454262435
36,permutations,perm_036_searchlight-acc.nii.gz,0.9473684302065521
37,permutations,perm_037_searchlight-acc.nii.gz,0.9473684302065521
38,permutations,perm_038_searchlight-acc.nii.gz,0.9473684302065521
39,permutations,perm_039_searchlight-acc.nii.gz,0.9473684302065521
40,permutations,perm_040_searchlight-acc.nii.gz,0.9736842149868608
41,permutations,perm_041_searchlight-acc.nii.gz,0.9473684302065521
42,permutations,perm_042_searchlight-acc.nii.gz,0.9736842149868608
43,permutations,perm_043_searchlight-acc.nii.gz,0.9473684302065521
44,permutations,perm_044_searchlight-acc.nii.gz,0.9210526454262435
45,permutations,perm_045_searchlight-acc.nii.gz,0.8947368606459349
46,permutations,perm_046_searchlight-acc.nii.gz,0.9473684302065521
47,permutations,perm_047_searchlight-acc.nii.gz,0.9210526454262435
48,permutations,perm_048_searchlight-acc.nii.gz,0.9473684302065521
49,permutations,perm_049_searchlight-acc.nii.gz,0.8947368606459349
50,permutations,perm_050_searchlight-acc.nii.gz,0.9473684302065521
51,permutations,perm_051_searchlight-acc.nii.gz,0.9473684302065521
52,permutations,perm_052_searchlight-acc.nii.gz,0.9473684302065521
53,permutations,perm_053_searchlight-acc.nii.gz,0.9210526454262435
54,permutations,perm_054_searchlight-acc.nii.gz,0.8947368606459349
55,permutations,perm_055_searchlight-acc.nii.gz,0.9473684302065521
56,permutations,perm_056_searchlight-acc.nii.gz,0.8947368606459349
57,permutations,perm_057_searchlight-acc.nii.gz,0.9210526454262435
58,permutations,perm_058_searchlight-acc.nii.gz,0.9210526454262435
59,permutations,perm_059_searchlight-acc.nii.gz,0.9210526454262435
60,permutations,perm_060_searchlight-acc.nii.gz,0.8947368606459349
61,permutations,perm_061_searchlight-acc.nii.gz,0.9210526454262435
62,permutations,perm_062_searchlight-acc.nii.gz,0.9210526454262435
63,permutations,perm_063_searchlight-acc.nii.gz,0.9210526454262435
64,permutations,perm_064_searchlight-acc.nii.gz,0.9473684302065521
65,permutations,perm_065_searchlight-acc.nii.gz,0.9473684302065521
66,permutations,perm_066_searchlight-acc.nii.gz,0.8947368606459349
67,permutations,perm_067_searchlight-acc.nii.gz,0.9473684302065521
68,permutations,perm_068_searchlight-acc.nii.gz,0.9473684302065521
69,permutations,perm_069_searchlight-acc.nii.gz,0.8947368606459349
70,permutations,perm_070_searchlight-acc.nii.gz,0.9473684302065521
71,permutations,perm_071_searchlight-acc.nii.gz,0.9210526454262435
72,permutations,perm_072_searchlight-acc.nii.gz,0.9210526454262435
73,permutations,perm_073_searchlight-acc.nii.gz,0.9473684302065521
74,permutations,perm_074_searchlight-acc.nii.gz,0.9473684302065521
75,permutations,perm_075_searchlight-acc.nii.gz,0.8947368606459349
76,permutations,perm_076_searchlight-acc.nii.gz,0.8947368606459349
77,permutations,perm_077_searchlight-acc.nii.gz,0.9473684302065521
78,permutations,perm_078_searchlight-acc.nii.gz,0.9210526454262435
79,permutations,perm_079_searchlight-acc.nii.gz,0.9473684302065521
80,permutations,perm_080_searchlight-acc.nii.gz,0.8947368606459349
81,permutations,perm_081_searchlight-acc.nii.gz,0.9210526454262435
82,permutations,perm_082_searchlight-acc.nii.gz,0.9473684302065521
83,permutations,perm_083_searchlight-acc.nii.gz,0.9210526454262435
84,permutations,perm_084_searchlight-acc.nii.gz,0.9473684302065521
85,permutations,perm_085_searchlight-acc.nii.gz,0.9473684302065521
86,permutations,perm_086_searchlight-acc.nii.gz,0.9210526454262435
87,permutations,perm_087_searchlight-acc.nii.gz,0.9210526454262435
88,permutations,perm_088_searchlight-acc.nii.gz,0.9473684302065521
89,permutations,perm_089_searchlight-acc.nii.gz,0.8947368606459349
90,permutations,perm_090_searchlight-acc.nii.gz,0.9210526454262435
91,permutations,perm_091_searchlight-acc.nii.gz,0.9210526454262435
92,permutations,perm_092_searchlight-acc.nii.gz,0.9210526454262435
93,permutations,perm_093_searchlight-acc.nii.gz,0.9210526454262435
94,permutations,perm_094_searchlight-acc.nii.gz,0.9210526454262435
95,permutations,perm_095_searchlight-acc.nii.gz,0.9210526454262435
96,permutations,perm_096_searchlight-acc.nii.gz,0.8947368606459349
97,permutations,perm_097_searchlight-acc.nii.gz,1.0000000591389835
98,permutations,perm_098_searchlight-acc.nii.gz,0.9736842149868608
99,permutations,perm_099_searchlight-acc.nii.gz,0.9473684302065521
