"task,mask,analysis,condition,accuracy,p_value,interpretation"
"passive,Visual,Within,Audio,0.421,0.832,No evidence"
"passive,Visual,Within,Video,0.605,0.198,Weak"
"passive,Visual,Within,Audiovisual,0.658,0.089,Trend"
"passive,Visual,Cross,Audio->Video,0.526,0.396,No evidence"
"passive,Visual,Cross,Video->Audio,0.500,0.535,At chance"
"passive,Auditory,Within,Audio,0.605,0.149,Weak"
"passive,Auditory,Within,Video,0.526,0.455,No evidence"
"passive,Auditory,Within,Audiovisual,0.500,0.525,At chance"
"passive,Auditory,Cross,Audio->Video,0.605,0.178,Weak"
"passive,Auditory,Cross,Video->Audio,0.605,0.069,Trend"
"passive,Language,Within,Audio,0.553,0.347,No evidence"
"passive,Language,Within,Video,0.500,0.515,At chance"
"passive,Language,Within,Audiovisual,0.553,0.406,No evidence"
"passive,Language,Cross,Audio->Video,0.579,0.158,Weak"
"passive,Language,Cross,Video->Audio,0.526,0.396,No evidence"
"passive,Data mask,Within,Audio,0.605,0.149,Weak"
"passive,Data mask,Within,Video,0.447,0.733,No evidence"
"passive,Data mask,Within,Audiovisual,0.447,0.772,No evidence"
"passive,Data mask,Cross,Audio->Video,0.500,0.545,At chance"
"passive,Data mask,Cross,Video->Audio,0.553,0.347,No evidence"
"passive,Rest of brain,Within,Audio,0.605,0.158,Weak"
"passive,Rest of brain,Within,Video,0.342,0.911,No evidence"
"passive,Rest of brain,Within,Audiovisual,0.447,0.772,No evidence"
"passive,Rest of brain,Cross,Audio->Video,0.526,0.455,No evidence"
"passive,Rest of brain,Cross,Video->Audio,0.605,0.109,Weak"
"recogn,Visual,Within,Audio,0.737,0.020,Significant"
"recogn,Visual,Within,Video,0.684,0.030,Significant"
"recogn,Visual,Within,Audiovisual,0.763,0.010,Significant"
"recogn,Visual,Cross,Audio->Video,0.526,0.436,No evidence"
"recogn,Visual,Cross,Video->Audio,0.579,0.178,No evidence"
"recogn,Auditory,Within,Audio,0.579,0.198,No evidence"
"recogn,Auditory,Within,Video,0.500,0.653,At chance"
"recogn,Auditory,Within,Audiovisual,0.553,0.327,No evidence"
"recogn,Auditory,Cross,Audio->Video,0.474,0.762,No evidence"
"recogn,Auditory,Cross,Video->Audio,0.474,0.693,No evidence"
"recogn,Language,Within,Audio,0.684,0.069,Trend"
"recogn,Language,Within,Video,0.368,0.970,No evidence"
"recogn,Language,Within,Audiovisual,0.684,0.069,Trend"
"recogn,Language,Cross,Audio->Video,0.500,0.564,At chance"
"recogn,Language,Cross,Video->Audio,0.421,0.950,No evidence"
"recogn,Data mask,Within,Audio,0.789,0.010,Significant"
"recogn,Data mask,Within,Video,0.579,0.188,No evidence"
"recogn,Data mask,Within,Audiovisual,0.711,0.050,Significant"
"recogn,Data mask,Cross,Audio->Video,0.474,0.713,No evidence"
"recogn,Data mask,Cross,Video->Audio,0.395,0.960,No evidence"
"recogn,Rest of brain,Within,Audio,0.711,0.020,Significant"
"recogn,Rest of brain,Within,Video,0.553,0.277,No evidence"
"recogn,Rest of brain,Within,Audiovisual,0.711,0.069,Trend"
"recogn,Rest of brain,Cross,Audio->Video,0.447,0.851,No evidence"
"recogn,Rest of brain,Cross,Video->Audio,0.395,0.950,No evidence"
