"task,mask,analysis,condition,accuracy,p_value,interpretation"
"passive,Visual,Within,Audio,0.395,0.901,No evidence"
"passive,Visual,Within,Video,0.526,0.485,No evidence"
"passive,Visual,Within,Audiovisual,0.553,0.337,No evidence"
"passive,Visual,Cross,Audio->Video,0.526,0.446,No evidence"
"passive,Visual,Cross,Video->Audio,0.395,0.980,No evidence"
"passive,Auditory,Within,Audio,0.553,0.327,No evidence"
"passive,Auditory,Within,Video,0.605,0.248,Weak"
"passive,Auditory,Within,Audiovisual,0.500,0.535,At chance"
"passive,Auditory,Cross,Audio->Video,0.474,0.723,No evidence"
"passive,Auditory,Cross,Video->Audio,0.474,0.663,No evidence"
"passive,Language,Within,Audio,0.526,0.396,No evidence"
"passive,Language,Within,Video,0.526,0.406,No evidence"
"passive,Language,Within,Audiovisual,0.605,0.188,Weak"
"passive,Language,Cross,Audio->Video,0.553,0.327,No evidence"
"passive,Language,Cross,Video->Audio,0.447,0.782,No evidence"
"passive,Data mask,Within,Audio,0.500,0.465,At chance"
"passive,Data mask,Within,Video,0.605,0.178,Weak"
"passive,Data mask,Within,Audiovisual,0.632,0.129,Weak"
"passive,Data mask,Cross,Audio->Video,0.526,0.347,No evidence"
"passive,Data mask,Cross,Video->Audio,0.500,0.574,At chance"
"recogn,Visual,Within,Audio,0.947,0.010,Significant"
"recogn,Visual,Within,Video,1.000,0.010,Significant"
"recogn,Visual,Within,Audiovisual,1.000,0.010,Significant"
"recogn,Visual,Cross,Audio->Video,0.763,0.010,Significant"
"recogn,Visual,Cross,Video->Audio,1.000,0.010,Significant"
"recogn,Auditory,Within,Audio,0.526,0.356,No evidence"
"recogn,Auditory,Within,Video,0.553,0.287,No evidence"
"recogn,Auditory,Within,Audiovisual,0.658,0.030,Significant"
"recogn,Auditory,Cross,Audio->Video,0.500,0.554,At chance"
"recogn,Auditory,Cross,Video->Audio,0.632,0.030,Significant"
"recogn,Language,Within,Audio,0.737,0.050,Significant"
"recogn,Language,Within,Video,0.711,0.010,Significant"
"recogn,Language,Within,Audiovisual,0.816,0.010,Significant"
"recogn,Language,Cross,Audio->Video,0.684,0.010,Significant"
"recogn,Language,Cross,Video->Audio,0.605,0.119,Weak"
"recogn,Data mask,Within,Audio,0.868,0.010,Significant"
"recogn,Data mask,Within,Video,0.868,0.010,Significant"
"recogn,Data mask,Within,Audiovisual,1.000,0.010,Significant"
"recogn,Data mask,Cross,Audio->Video,0.763,0.010,Significant"
"recogn,Data mask,Cross,Video->Audio,0.868,0.010,Significant"
